Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Medical Aid
","Tamarak Apartments
","4/2/2024
","2404020066
","4/2/2024
","9:06 PM
","Female having allergic reaction
","Referred t o Other Agency ‐ San Diego Fire Department
"
"Marijuana Contact
","Pepper Canyon Apartments
","4/2/2024
","2404020067
","4/2/2024
","9:22 PM
","Odor of marijuana coming from apartment
","Referred to Student Conduct
"
"Mental Health Detention
","UCSD Residential Area
","4/2/2024
","2024‐0665
","4/2/2024 ‐ 4/3/2024
","9:43 PM ‐ 12:33 AM
","Student having suicidal ideations
","Transported to Hospital
"
"Stay Away Order Issued
","Catalyst
","4/2/2024
","2024‐0664
","4/2/2024
","9:55 PM ‐ 11:33 PM
","Non‐affiliate frequently accessing building to use and camp inside restrooms
","Report Taken
"
"Security Alarm
","Biomedical Sciences Building
","4/2/2024
","2404020070
","4/1/2024
","10:13 PM
",,"False Alarm
"
"Assist Other Agency
","Thornton Pavilion
","4/2/2024
","2404020071
","4/2/2024
","10:13 PM
","Psych subject attempting to leave hospital against medical advice
","Service Provided
"
"Illegal Parking
","Theatre District Drive
","4/2/2024
","2404020072
","4/2/2024
","11:04 PM
",,"Checks OK
"
"Disturbance ‐ Psych Subject
","South Morning Star Drive
","4/2/2024
","2404020073
","4/2/2024
","11:17 PM
",,"Referred to Other Agency ‐ Anaheim Police Department
"
"Property Damage
","Academically Center‐ Hillcrest
","4/2/2024
","HC24‐04‐01‐0292
","4/1/2024
","12:50 PM
","Damage to vehicle
","Hospital Security Report Taken
"
"Noise Disturbance
","Pepper Canyon Apartments 900
","2/19/2024
","2402190001
","2/19/2024
","12:08 AM
","Loud stomping and screaming
","Referred to Student Conduct
"
"Quiet Hours Contact
","Seventh College East #3
","2/19/2024
","2402190003
","2/19/2024
","12:28 AM
",,"Will Cooperate
"
"Quiet Hours Contact
","Seventh College West #1
","2/19/2024
","2402190005
","2/19/2024
","12:34 AM
",,"Will Cooperate
"
"Security Alarm
","Parking lot P782
","2/19/2024
","2402190006
","2/19/2024
","12:39 AM
",,"Checks OK
"
"Noise Disturbance
","Pepper Canyon Apartments
","2/19/2024
","2402190012
","2/19/2024
","2:44 AM
","Loud talking and music
","Referred to Student Conduct
"
"Noise Disturbance
","Bates Hall
","2/19/2024
","2402190015
","2/19/2024
","4:30 AM
",,"Referred to Student Conduct
"
"Welfare Check
","Catalyst
","2/19/2024
","2402190016
","2/19/2024
","4:39 AM
","Parent advised student has low blood sugar and is not answering phone
","Cancelled
"
"Welfare Check
","Pangea Parking
","2/19/2024
","2402190019
","2/19/2024
","5:27 AM
","Sleeper on 5th floor
","Checks OK
"
"Incomplete/Accidental Wireless 911 Call
","North Torrey Pines Road
","2/19/2024
","2402190021
","2/19/2024
","7:46 AM
",,"Logged Event
"
"Vandalism
","Torrey Pines Gliderport ‐ UCSD
","2/19/2024
","2402190023
","2/19/2024
","8:16 AM
","Motorist doing donuts in dirt lot, bringing up gravel in the air causing damage to windows of
","Report Taken
"
"Gas/Water/Sewer Leak
","Medical Teaching Facility
","2/19/2024
","2402190025
","2/19/2024
","8:56 AM
","Flooding in basement
","Referred to Other UCSD Department ‐ Central Plant
"
"Medical Aid
","The Springs La Jolla
","2/19/2024
","2402190027
","2/19/2024
","9:18 AM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Charles David Keeling Apartments 2
","2/19/2024
","2402190031
","2/19/2024
","11:41 AM
","Parent unable to get ahold of student since 2/14/2024
","Service Provided
"
"Welfare Check
","One Miramar Street, Building 2
","2/19/2024
","2402190032
","2/19/2024
","11:57 AM
","Professor concerned for student who has not responded for the past 10 days and has not
","Checks OK
"
"Incomplete/Accidental Landline 911 Call
","Brisa
","2/19/2024
","2402190036
","2/19/2024
","12:32 PM
",,"Logged Event
"
"Battery on Emergency Personnel ‐ Simple
","Jacobs Medical Center ‐ Emergency Room
","2/19/2024
","2402190036
","2/19/2024
","1:10 PM
","Patient struck nurse in face an on arm while nurse was rendering care
","Report Taken
"
"Suspicious Person
","Skaggs Pharmaceutical Sciences Building
","2/19/2024
","2402190039
","2/19/2024
","1:51 PM
","Possible unhouse female with a dog, knocking on doors and rambling
","Unable to Locate
"
"Incomplete/Accidental Wireless 911 Call
","Argo Hall
","2/19/2024
","2402190054
","2/19/2024
","6:57 PM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","Costa Verde Blvd.
","2/19/2024
","2402190055
","2/19/2024
","7:51 PM
",,"Logged Event
"
"Noise Disturbance
","Brisa
","2/19/2024
","2402190056
","2/19/2024
","8:01 PM
","Loud vibration noise
","Unable to Locate
"
"Petty Theft
","Coast Apartments
","2/19/2024
","2024‐0375
","1/20/2024 ‐ 2/19/2024
","6:00 PM ‐ 9:00 PM
","Unknown suspect(s) stole victim's delivered amazon box from outdoor table, loss $50.00
","Report Taken
"
"Medical Aid
","Latin America Hall
","2/19/2024
","2402190059
","2/19/2024
","10:04 PM
","Young adult female having a panic attack, having trouble breathing
","Referred to Other Agency ‐ San Diego Fire Department
"
"Noise Disturbance
","Mesa Nuevo ‐ Rough Draft Brewing
","2/19/2024
","2402190060
","2/19/2024
","10:33 PM
","Loud group
","Gone On Arrival
"
"Noise Disturbance
","Piedra
","2/19/2024
","2402190064
","2/19/2024
","11:25 PM
","Group inside study room, talking and laughing
","Quiet on Arrival
"
"Noise Disturbance
","Cresta
","2/19/2024
","2402190065
","2/19/2024
","11:33 PM
","Person making a lot of noises at the gym punching bag
","Gone on Arrival
"
"Disturbance
","UCSD Medical Center ‐ Hillcrest
","2/19/2024
","HC24‐02‐18‐0163
","2/18/2024
","9:53 PM
","Patient became aggressive with physician when they attempted to stop patient from walking
","Information Only
"
"Suspicious Vehicle
","Neighborhood ‐ Coast Apartments
","3/28/2024
","2403280004
","3/28/2024
","12:35 AM
","Possible sleeper inside van with windows covered
","Will Cooperate
"
"Suspicious Vehicle
","Pangea Parking
","3/28/2024
","2403280007
","3/28/2024
","4:09 AM
",,"Checks OK
"
"Welfare Check
","Villa La Jolla Drive
","3/28/2024
","2403280008
","3/28/2024
","4:38 AM
","Reporting party says he is not okay, nurse pulled needle out of arm and VA Police told subject to
","Referred To Other Agency ‐ San Diego Fire Department
"
"Security Alarm
","Central Utilities Plant
","3/28/2024
","2403280010
","3/28/2024
","6:04 AM
",,"Cancelled
"
"Security Alarm
","Powel‐Focht Bioengineering Hall
","3/28/2024
","2403280019
","3/28/2024
","7:11 AM
",,"False Alarm
"
"Criminal Threat
","Nobel Drive
","3/28/2024
","2403280025
","3/28/2024
","9:10 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Fire Alarm
","Ridge Walk Academic Building
","3/28/2024
","2403280027
","3/28/2024
","9:53 AM
",,"False Alarm
"
"Medical Aid
","Thornton Pavilion
","3/28/2024
","2403280028
","3/28/2024
","10:00 AM
","Patient having negative reaction to Iodine
","Referred to Other Agency‐ San Diego Fire Department
"
"Citizen Flagdown
","Marshall Upper Apartments J
","3/28/2024
","2403280029
","3/28/2024
","10:15 AM
",,"Information Only
"
"Hit & Run Collision ‐ Non Injury
","Campus Point Drive/ Genesee Avenue
","3/28/2024
","2403280031
","3/28/2024
","8:20 AM
","Reporting party advising only; pumped rear end of vehicle that suddenly stopped in front of her,
","Service Provided
"
"Security Alarm
","Torrey Pines Center South
","3/28/2024
","2403280033
","3/28/2024
","11:12 AM
",,"False Alarm
"
"Medical Aid
","Gilman Drive
","3/28/2024
","2403280034
","3/28/2024
","11:44 AM
","Chest pains
","Referred to Other Agency‐ San Diego Fire Department
"
"Vandalism
","Gilman Drive/ Theatre District Drive
","3/28/2024
","2024‐0640
","3/28/2024
","6:00 AM ‐ 11:15 AM
","Graffiti on fence, cost of damage $50.00
","Report Taken
"
"Ticket Sign Off
","UCSD Police Department
","3/28/2024
","2403280036
","3/28/2024
","12:11 PM
",,"Service Provided
"
"Illegal Parking
","IGPP ‐ Munk Laboratory
","3/28/2024
","2403280037
","3/28/2024
","1:12 PM
","Vehicle previously cited by parking, parked in service yard and blocking access
","Gone on Arrival
"
"Incomplete/Accidental Wireless 911 Call
","Genesee Avenue
","3/28/2024
","2403280041
","3/28/2024
","3:04 PM
",,"Logged Event
"
"Reckless Driving
","Trolley ‐ Central Campus Station
","3/28/2024
","2403280043
","3/28/2024
","4:51 PM
","Vehicle driving down walkway
","Unable to Locate
"
"Fire Alarm
","Kaleidoscope
","3/28/2024
","2403280045
","3/28/2024
","5:08 PM
",,"False Alarm
"
"Welfare Check
","UC San Diego
","3/28/2024
","2403280052
","3/28/2024
","6:41 PM
","Reporting party states friend made suicidal threat on social media
","Referred to Other Agency ‐ University of San Diego Public Safety
"
"Suspicious Person
","Trolley ‐ Central Campus Station
","3/28/2024
","2403280058
","3/28/2024
","7:33 PM
","Three adult male casing bicycles
","Field Interview
"
"Medical Aid
","Trolley ‐ Central Campus Station
","3/28/2024
","2403280061
","3/28/2024
","9:09 PM
","Adult male on platform says he feels weird and is shaking
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/Accidental Landline 911 Call
","Kaleidoscope
","3/28/2024
","2403280067
","3/28/2024
","9:54 PM
",,"Logged Event
"
"Gas/Water/Sewer Leak
","Matthews Apartments C
","3/28/2024
","2403280074
","3/28/2024
","10:55 PM
","Odor of natural gas
","Referred to Other UCSD Department ‐ Housing Maintenance
"
"Incomplete/ Accidental Landline 911 Call
","Viento
","3/28/2024
","2403280078
","3/28/2024
","10:55 PM
",,"Logged Event
"
"Fire Alarm
","Shiley Eye Institute
","3/28/2024
","2403280085
","3/28/2024
","11:39 PM
",,"False Alarm
"
"Suspicious Person
","Actri
","3/1/2024
","2403010009
","3/1/2024
","12:59 AM
","Suspicious male outside the building
","Gone on Arrival
"
"Possession of Marijuana
","Stewart Hall
","3/1/2024
","2403010013
","3/1/2024
","1:06 AM
",,"Referred to Student Conduct
"
"Unknown Injury Collision
","La Jolla Village Drive/Regents Road
","3/1/2024
","2403010013
","3/1/2024
","1:29 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Alcohol Contact
","Seventh College East #1
","3/1/2024
","240301005
","3/1/2024
","1:54 AM
","Original call for noise, loud yelling coming from apartment below
","Referred to Student Conduct
"
"Illegal Parking
","One Miramar Street
","3/1/2024
","2403010017
","3/1/2024
","2:36 AM
",,"Verbal warning issued
"
"Illegal Parking
","Parking Lot Exchange
","3/1/2024
","2403010018
","3/1/2024
","3:01 AM
",,"Citation Issued
"
"Illegal Parking
","Parking Lot Exchange
","3/1/2024
","2403010019
","3/1/2024
","3:17 AM
",,"Citation Issued
"
"Disturbance
","Trolley ‐ Central Campus Station
","3/1/2024
","2403010022
","3/1/2024
","3:55 AM
","Male yelling
","Field Interview
"
"Illegal Parking
","Parking Lot Piedra
","3/1/2024
","2403010024
","3/1/2024
","4:46 AM
",,"Citation Issued
"
"Welfare Check
","Mesa Verde Hall
","3/1/2024
","2403010025
","3/1/2024
","5:46 AM
","Intoxicated female
","Checks OK
"
"Welfare Check
","Birch Aquarium
","3/1/2024
","2403010028
","3/1/2024
","7:21 AM
","Subject dancing and talking to himself
","Field Interview
"
"Unknown Injury Collision
","La Jolla Village Drive/ La Jolla Village Drive Ramp
","3/1/2024
","2403010029
","3/1/2024
","7:43
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/Accidental Wireless 911 Call
","Village La Jolla Drive
","3/1/2024
","2403010030
","3/1/2024
","7:44 AM
","Open Line, female crying
","Logged Event
"
"Drug Law Violation/ Probation Violation
","Actri
","3/1/2024
","2024‐0462
","3/1/2024
","8:04 AM
","Non‐affiliate male contacted after receiving a report of a male dancing and mumbling in front of
","Closed By Adult Arrest
"
"Incomplete/Accidental Wireless 911 Call
","Russell Lane/Gilman Drive
","3/1/2024
","2403010032
","3/1/2024
","8:09 AM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","Extended Studies Z
","3/1/2024
","2403010033
","3/1/2024
","8:23 AM
",,"Logged Event
"
"Drunk in Public
","Gilman Parking
","3/1/2024
","2024‐0463
","3/1/2024
","8:48 AM
","Subject passed out on southside of structure
","Report Taken
"
"Grand Theft
","Jacobs Hall
","3/1/2024
","2024‐0464
","3/1/2024
","9:38 AM
","Victim reported his backpack stolen outside of Jacobs hall
","Unfounded
"
"Disturbance
","Holiday Court
","3/1/2024
","2403010036
","3/1/2024
","9:56 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Petty Theft
","Oceanview Terrace
","3/1/2024
","2024‐0465
","02/02/2024‐2/28/2024
","5:52 AM‐11:00 AM
","Unknown subject took insulation from location, loss $379.00
","Report Taken
"
"Burglary
","School of Medicine
","3/1/2024
","2024‐0467
","2/29/2024‐3/01/2024
","3:00 PM‐9:30 AM
","Unknown suspect(s) entered building by unknown means and computers, loss $2920.89
","Report Taken
"
"Vandalism/ Weapons Law Violation
","Scholars Parking
","3/1/2024
","2024‐0466
","3/1/2024
","10:46 AM
","Male suspect became upset over a parking space taken by victim and intentionally scratched
","Closed By Adult Arrest
"
"Fire Alarm
","North America Hall
","3/1/2024
","2403010042
","3/1/2024
","12:17 PM
",,"Checks Ok
"
"Traffic Hazard
","Interstate 5 Southbound/ Genesee Avenue
","3/1/2024
","2403010044
","3/1/2024
","1:01 PM
","Boulder in roadway
","Referred to Other Agency ‐ California Highway Patrol
"
"Reckless Driving
","Interstate 5/ State Route 56
","3/1/2024
","2403010048
","3/1/2024
","2:09 PM
","Female caller reporting road rage incident
","Referred to Other Agency ‐ California Highway Patrol
"
"Campus Security Authority Report
","Downtown San Diego
","3/1/2024
","2403010051
","2/29/2024
","Unknown
","Report of Preuss student assaulted in Downtown San Diego, already reported to San Diego
","Information Only
"
"Medical Aid
","Lakeview Drive
","3/1/2024
","2403010052
","3/1/2024
","2:34 PM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Carlann Drive
","3/1/2024
","2403010053
","3/1/2024
","2:38 PM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Cognitive Sciences Building
","3/1/2024
","2403010058
","3/1/2024
","4:03 PM
","Reporting party requesting Triton CORE
","Referred to Other UCSD Department ‐ Triton CORE
"
"Disturbance, Psych Subject
","Center Hall
","3/1/2024
","2403010060
","3/1/2024
","4:48 PM
","Possible unhoused male, pointing a stick and whispering threats to himself and passersby
","Unable to Locate
"
"Battery: Aggravated Assault/ Obstruct or Resist Public Officer/ Theft of Postal Service Property
","Trolley ‐ Central Campus Station
","3/1/2024
","2024‐0468
","3/1/2024
","6:31 PM
","UCSD Police called out to assist with a male detained for assaulting two MTS Transit Officers and
","Closed By Adult Arrest
"
"Incomplete/Accidental Landline 911 Call
","Design and Innovation Building
","3/1/2024
","2403010063
","3/1/2024
","6:41 PM
",,"Logged Event
"
"Security Alarm
","Leichtag Family Foundation
","3/1/2024
","2403010064
","3/1/2024
","6:55 PM
",,"Checks Ok
"
"Incomplete/Accidental Landline 911 Call
","Design and Innovation Building
","3/1/2024
","2403010065
","3/1/2024
","7:15 PM
",,"Logged Event
"
"Incomplete/Accidental Landline 911 Call
","Scholars Parking
","3/1/2024
","2403010066
","3/1/2024
","8:57 PM
",,"Logged Event
"
"Use Restricted Access Facility
","Tdlln ‐ Podemos
","3/1/2024
","2024‐0469
","3/1/2024
","9:11 PM
","Non‐affiliate male contacted after he called into dispatch via an elevator emergency phone and
","Closed By Citation, Adult
"
"Missing Person
","Hopkins Parking
","3/1/2024
","2403010068
","3/1/2024
","9:27 PM
",,"Cancelled
"
"Stay Away Order Issuance
","Africa Hall
","3/1/2024
","2024‐0470
","3/1/2024
","10:39 PM
","Non‐Affiliate found sleeping inside nearby classroom
","Report Taken
"
"Drug Impound
","Meteor Hall
","3/1/2024
","2024‐0471
","3/1/2024
","10:53 PM
","Reporting party found small baggie possibly containing a controlled substance
","Report Taken
"
"Incomplete/Accidental Landline 911 Call
","UC San Diego
","3/1/2024
","2403010075
","3/1/2024
","11:23 PM
",,"Logged Event
"
"Fire Alarm
","Seventh College ‐ West
","3/1/2024
","2403010076
","3/1/2024
","11:40 PM
",,"False Alarm
"
"Incomplete/Accidental Wireless 911 Call
","Nobel Drive
","3/1/2024
","2403010077
","3/1/2024
","11:45 PM
",,"Logged Event
"
"Assault
","UCSD Medical Center ‐ Hillcrest
","3/1/2024
","HC24‐02‐29‐0206
","2/29/2024
","10:50 PM
","Patient caused a disturbance and attempted to assault a staff member
","Information Only
"
"Security Alarm
","Warren Lecture Hall
","2/21/2024
","2402210005
","2/21/2024
","5:31 AM
",,"False Alarm
"
"Hit & Run Collision ‐ Non Injuries
","Hopkins Parking
","2/21/2024
","2402210010
","2/24/2024
","7:32 AM
",,"Report Taken
"
"Welfare Check
","Parking Lot P010
","2/21/2024
","2402210013
","2/21/2024
","7:55 AM
","Per Parking, male inside vehicle sleeping, vehicle has no plates
","Field Interview
"
"Medical Aid
","Shiley Eye Institute
","2/21/2024
","2402210017
","2/21/2024
","8:21 AM
","Patient transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Reckless Driving
","Regents Road/Miramar Street
","2/21/2024
","2402210018
","2/21/2024
","8:27 AM
","Vehicle speeding and trying to ram cyclist off the road
","Gone on Arrival
"
"Found Property
","Biology Building
","2/21/2024
","2024‐0383
","2/16/24‐2/21/24
","11:00AM‐08:30AM
","Shell casing found inside UC vehicle
","Report Taken
"
"Injury
","Shiley Eye Institute
","2/21/2024
","2402210031
","2/21/2024
","9:23 AM
","Reporting party flagged down officer, advised a subject had fallen
","Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Moore's Cancer Center
","2/21/2024
","2402210032
","2/21/2024
","9:35 AM
","Patient transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Security Alarm
","Neighborhood ‐ Tdll
","2/21/2024
","2402210041
","2/21/2024
","11:17 AM
",,"False Alarm
"
"Incomplete/Accidental Landline 911 Call
","9500 Gilman Drive
","2/21/2024
","2402210047
","2/21/2024
","12:35 PM
",,"Logged Event
"
"Medical Aid
","Trolley ‐ La Jolla Health Station
","2/21/2024
","2402210051
","2/21/2024
","1:10 PM
","Male collapsed on trolley
","Referred to Other Agency ‐ San Diego Fire Department
"
"Lost Property
","Trolley ‐ Central Campus Station
","2/21/2024
","2402210054
","2/21/2024
","1:30 PM
","US Passport left on trolley
","Service Provided
"
"Fire Alarm
","Douglas Apartments
","2/21/2024
","2402210055
","2/21/2024
","2:46 PM
",,"False Alarm
"
"Welfare Check
","Trolley ‐ Central Campus Station
","2/21/2024
","2402210059
","2/21/2024
","3:26 PM
","Unknown subject passed out next to elevator
","Field Interview
"
"Ticket Sign Off
","UCSD Police Department
","2/21/2024
","2402210060
","2/21/2024
","4:06 PM
",,"Service Provided
"
"Citizen Contact
","Greenhouse Lane
","2/21/2024
","2402210061
","2/21/2024
","4:09 PM
","Subpoena drop off
","Service Provided
"
"Non Injury Collision
","Justice Lane
","2/21/2024
","2402210069
","2/21/2024
","7:55 PM
",,"Information Only
"
"Citizen Assist
","Gilman Parking
","2/21/2024
","2402210077
","2/21/2024
","9:51 PM
","Caller requesting time of arrival for tow truck
","Service Provided
"
"Illegal Parking
","Rita Atkinson Residences
","2/21/2024
","2402210080
","2/21/2024
","11:05 PM
",,"Closed, Cited and Released
"
"Noise Disturbance
","Seventh College East #4
","2/21/2024
","2402210084
","2/21/2024
","11:26 PM
","Loud Music
","Service Provided
"
"Illegal Parking
","Rita Atkinson Residences
","2/21/2024
","2402210086
","2/21/2024
","11:49 PM
",,"Closed, Cited and Released
"
"Trespass
","Holiday Court
","2/21/2024
","2402210088
","2/21/2024
","11:54 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Noise Disturbance
","Europe Hall
","2/21/2024
","2402210089
","2/21/2024
","11:55 PM
","Group talking loud
","Gone on Arrival
"
"Noise Disturbance
","Seventh College East
","3/10/2024
","2403100005
","3/10/2024
","12:40 AM
","Group of subjects yelling outside building
","Will Cooperate
"
"Noise Disturbance
","Stewart Hall
","3/10/2024
","2403100009
","3/10/2024
","1:02 AM
","Music and chanting
","Referred to Student Conduct
"
"Outside Agency Warrant Arrest ‐ Felony
","Thurgood Marshall Res Hall V
","3/10/2024
","23024‐0519
","3/10/2024
","1:03 AM
","Non‐affiliate male contacted following a report of a suspicious person walking through
","Closed by Adult Arrest
"
"Noise Disturbance
","Tapestry
","3/10/2024
","2403100011
","3/10/2024
","1:15 AM
","Loud voices and music
","Referred to Student Conduct
"
"Security Alarm
","Otterson Hall
","3/10/2024
","2403100014
","3/10/2024
","1:46 AM
",,"Cancelled
"
"Fire Alarm
","Tapestry
","3/10/2024
","2403100017
","3/10/2024
","4:13 AM
","Burnt food
","Referred to Other Agency ‐ San Diego Fire Department
"
"Security Alarm
","Wells Fargo Hall
","3/10/2024
","2403100021
","3/10/2024
","7:52 AM
",,"False Alarm
"
"Fire Alarm
","Trolley ‐ La Jolla Health Station
","3/10/2024
","2403100023
","3/10/2024
","8:23 AM
",,"False Alarm
"
"Information
","Liontree Arena ‐ RIMAC
","3/10/2024
","2403100024
","3/10/2024
","8:35 AM
","Second hand information, reporting party was told earlier there was a subject who was
","Information Only
"
"Incomplete/ Accidental Wireless 911 Call
","Porton
","3/10/2024
","2403100026
","3/10/2024
","10:08 AM
",,"Logged Event
"
"Welfare Check
","Voigt Drive/ Hopkins Drive
","3/10/2024
","2403100027
","3/10/2024
","10:39 AM
","Concerns regarding a subject sitting down on the sidewalk
","Verbal Warning Issued
"
"Incomplete/ Accidental Wireless 911 Call
","North Torrey Pines Road
","3/10/2024
","2403100028
","3/10/2024
","10:50 AM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Brisa
","3/10/2024
","2403100034
","3/10/2024
","1:46 PM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","North Torrey Pines Road
","3/10/2024
","2403100035
","3/10/2024
","1:59 PM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","Sulpizio Family Cardiovascular Center
","3/10/2024
","2403100041
","3/10/2024
","3:36 PM
",,"Logged Event
"
"Security Alarm
","Leichtag Family Foundation Biomedical Research
","3/10/2024
","2403100044
","3/10/2024
","4:06 PM
",,"False Alarm
"
"Recovered Stolen Vehicle
","W. Kalmia Street, San Diego, CA
","3/10/2024
","2403100048
","3/10/2024
","5:58 PM
","Victim recovered previously reported stolen e‐scooter after tracking it via AirTag
","Service Provided
"
"Petty Theft ‐ Micro Mobility Device
","Sally T. Wongavery Library
","3/10/2024
","2024‐0520
","3/10/2024
","12:30 PM ‐ 4:00 PM
","Secured electric scooter stolen, loss $320.00
","Report Taken
"
"Vehicle Burglary
","La Jolla Shores Drive/Naga Way
","3/10/2024
","2403100051
","3/10/2024
","7:48 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Illegal Parking
","Institute of The Americas Building
","3/10/2024
","2403100052
","3/10/2024
","8:29 PM
",,"Will Cooperate
"
"Information
","Scripps Memorial Hospital
","3/10/2024
","2403100055
","3/10/2024
","9:50 PM
","Older adult female claiming she is being held against her will
","Checks OK
"
"Petty Theft ‐ Micro Mobility Device
","Trolley ‐ Central Campus Station
","3/10/2024
","2024‐0521
","3/10/2024
","10:13 PM
","Male non‐affiliate suspect contacted and found in possession of two stolen e‐scooters,
","Closed By Citation, Adult
"
"Incomplete/ Accidental Wireless 911 Call
","Scripps Memorial Hospital La Jolla
","3/10/2024
","2403100059
","3/10/2024
","10:28 PM
",,"Logged Event
"
"Petty Theft
","Conrad Prebys Music Center
","3/10/2024
","2024‐0522
","3/10/2024
","6:00 PM ‐ 10:15 PM
","Secured bicycle stolen, loss $168.00
","Report Taken
"
"Domestic Violence Assault
","UCSD Residential Area
","3/10/2024
","2024‐0523
","3/10/2024
","1:00 AM ‐ 1:08 AM
","Victim alleged they were physically assaulted and strangled by dating partner
","Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","Pepper Canyon Drive
","3/10/2024
","2403100062
","3/10/2024
","11:03 PM
",,"Logged Event
"
"Welfare Check
","Pepper Canyon Drive/Voigt Drive
","3/10/2024
","2403100063
","3/10/2024
","11:08 PM
","Adult male asked reporting party where to get food on campus
","Unable to Locate
"
"Incomplete/Accidental Landline 911 Call
","Mosaic
","3/10/2024
","2403100064
","3/10/2024
","11:30 PM
",,"Logged Event
"
"Noise Disturbance
","Cresta
","3/10/2024
","2403100065
","3/10/2024
","11:37 PM
","Neighbors being too loud
","Quiet On Arrival
"
