Vehicle,Location,Date Occured,Time Occured,Summary,Report Source
Electric Scooter,"Geisel Library
","2/15/2024
","6:30 PM
","Secured electric scooter stolen, loss $600.00
",UCPD Logs
Electric Scooter,"Solis Hall
","2/15/2024
","7:55 PM ‐ 8:34 PM
","Secured electric scooter stolen, loss $289.00
",UCPD Logs
Electric Scooter,"Gilman Drive
","2/15/2024
","7:30 PM ‐ 7:40 PM
","Secured electric scooter stolen, loss $300.00
",UCPD Logs
Electric Scooter,"Applied Physics & Mathematics
","2/8/2024
","3:50 PM
","Secured electric scooter stolen, loss $1,050.00
",UCPD Logs
Bicycle,"Structural & Material Engineering Building
","2/8/2024
","9:00 AM ‐ 7:30 PM
","Secured bicycle stolen, loss $600.00
",UCPD Logs
Electric Scooter,"Center Hall
","2/8/2024
","7:00 PM‐8:30 PM
","Secured electric scooter stolen, loss $700.00
",UCPD Logs
Electric Bicycle,"Geisel Library
","3/21/2024-3/22/2024
","7:00PM-7:00AM
","Secured electric bicycle stolen, loss $500.00
",UCPD Logs
Electric Scooter,"Solis Hall
","3/22/2024
","8:00 AM-10:00 AM
","Secured electric scooter stolen, loss $400.00
",UCPD Logs
Electric Scooter,"Ledden Auditorium
","3/22/2024
","3:00 PM-6:01 PM
","Secured electric scooter stolen, loss $450.00
",UCPD Logs
Electric Scooter,"Humanities & Social Sciences
","2/13/2024
","12:30 PM ‐ 1:50 PM
","Secured electric scooter stolen, loss $500.00
",UCPD Logs
Electric Scooter,"Theatre District
","2/26/2024
","9:10 AM ‐ 10:30 AM
","Secured electric scooter stolen, loss $799.99
",UCPD Logs
Electric Scooter,"Frankfurter Hall
","2/26/2024
","5:00 PM ‐ 6:00 PM
","Secured electric scooter stolen, loss $900.00
",UCPD Logs
Electric Scooter,"Applied Physics & Mathematics
","2/26/2024
","5:50 PM ‐ 6:50 PM
","Secured electric scooter stolen, loss $1,200.00
",UCPD Logs
Electric Scooter,"Pepper Canyon Hall
","2/26/2024
","5:30 PM ‐ 8:00 PM
","Unsecured electric scooter stolen, loss $600.00
",UCPD Logs
Electric Scooter,"Pepper Canyon Hall
","2/26/2024
","5:30 PM ‐ 8:00 PM
","Secured electric scooter stolen, loss $360.00
",UCPD Logs
Bicycle,"Blake Hall
","3/16/2024 ‐ 3/17/2024
","10:00 PM ‐ 9:00 AM
","Secured bicycle stolen, loss $150.00
",UCPD Logs
Electric Scooter,"Geisel Library
","2/5/2024
","1:45 pm‐3:15 pm
","Secured electric scooter stolen, loss $600.00
",UCPD Logs
Electric Bicycle,"Asia Hall
","2/15/2024 ‐ 2/16/2024
","10:00 PM ‐ 11:00 AM
","Stolen electric bicycle, loss $1300
",UCPD Logs
Electric Scooter,"10065 Scholars Drive North
","2/15/2024
","2:10 PM ‐ 4:50 PM
","Electric scooter stolen, loss $280.00
",UCPD Logs
Bicycle,"Cala
","2/13/2024 - 2/29/2024
","1:11 PM - 11:50 AM
","Secured bicycle stolen from 5th floor bike racks, loss $500.00
",UCPD Logs
Bicycle,"Argo Hall
","3/7/2004
","4:45 PM
","Secured bicycle stolen, loss $200.00
",UCPD Logs
Bicycle,"Argo Hall
","3/7/2024
","4:45 AM
","Secured bicycle stolen, loss $200.00
",UCPD Logs
Electric Scooter,"Lyman Lane
","3/12/2024
","3:25 PM ‐ 7:25 PM
","Secured electric scooter stolen, loss $350.00
",UCPD Logs
Electric Scooter,"Mesa Apartments South
","2/23/2024
","2:00 AM ‐ 7:30 AM
","Secured electric scooter stolen, loss $1,819.00
",UCPD Logs
Electric Bicycle,"Asia Hall
","2/22/2024 ‐ 2/23/2024
","1:10 AM ‐ 10:00 AM
","Secured electric bicycle stolen, loss $800.00
",UCPD Logs
Electric Scooter,"Exploration Drive
","2/28/2024
","10:00 AM ‐ 3:00 PM
","Secured electric scooter stolen, loss $220.00
",UCPD Logs
Electric Scooter,"Recreation Gymnasium
","3/19/2024
","10:30 AM - 2:45 PM
","Secured electric scooter stolen, loss $220.00
",UCPD Logs
Bicycle,"Center Hall
","3/16/2024 - 3/19/2024
","1:00 PM - 4:25 PM
","Secured bicycle stolen, loss $300.00
",UCPD Logs
Bicycle,"East Campus Office Building
","3/19/2024
","11:30 AM - 3:45 PM
","Secured bicycle stolen, loss $2,500.00
",UCPD Logs
Bicycle,"Canyonview Rec/ Athletics Administration
","3/8/2024
","3:37 PM
","Secured bicycle stolen, loss $350.00
",UCPD Logs
Electric Scooter,"Russell Ln
","3/8/2024
","4:00 PM ‐ 6:15 PM
","Secured electric scooter stolen, loss $550.00
",UCPD Logs
Electric Scooter,"Geisel Library
","2/6/2024
","11:30 am‐1:00 pm
","Secured electric scooter stolen, loss $270.00
",UCPD Logs
Electric Scooter,"Warren Lecture Hall
","3/12/2024 ‐ 3/14/2024
","8:00 PM ‐ 10:10 AM
","Unsecured electric scooter stolen, loss $900.00
",UCPD Logs
Bicycle,"Charles David Keeling Apartments
","3/13/2024 ‐ 3/14/2024
","7:00 PM ‐ 2:45 PM
","Secured bicycle stolen, loss $355.00
",UCPD Logs
Electric Scooter,"Mandeville Center
","2/24/2024 ‐ 2/25/2024
","6:27 PM ‐ 12:40 AM
","Secured electric scooter stolen, loss $270.00
",UCPD Logs
Electric Bicycle,"La Jolla Del Sol Apartments
","2/23/2024 ‐ 2/24/2024
","Unknown
","Secured electric bicycle stolen, loss $900.00
",UCPD Logs
Electric Scooter,"Canyon Vista
","2/23/2024 ‐ 2/25/2024
","12:30 PM ‐ 3:45 PM
","Secured electric scooter stolen, loss $700.00
",UCPD Logs
Electric Scooter,"Canyon view Aquatic & Climbing Wall
","3/5/2024
","3:45 PM ‐ 4:15 PM
","Secured electric scooter stolen, loss $ 620.00
",UCPD Logs
Electric Bicycle,"Moores Cancer Center
","3/5/2024
","5:00 PM ‐ 5:15 PM
","Secured electric bicycle stolen, loss $3000.00
",UCPD Logs
Electric Scooter,"Geisel Library
","3/5/2024
","6:40 PM ‐ 8:40 PM
","Secured electric scooter stolen, loss $700.00
",UCPD Logs
Electric Scooter,"Otterson Hall
","3/21/2024
","3:00 PM - 3:50 PM
","Secured electric scooter stolen, loss $900.00
",UCPD Logs
Electric Scooter,"Scholars Drive N
","4/1/2024 ‐ 4/2/2024
","10:00 AM ‐ 11:00 AM
","Electric scooter stolen, loss $400.00
",UCPD Logs
Electric Bicycle,"Canyon Vista
","2/28/2024 ‐ 2/29/2024
","11:50 PM ‐ 8:00 AM
","Unsecured electric bicycle stolen, loss $350.00
",UCPD Logs
Electric Scooter,"Trolley ‐ Central Campus Station
","4/1/2024
","1:50 AM ‐ 3:35 PM
","Secured electric scooter stolen, loss $500.00
",UCPD Logs
Bicycle,"Theatre District Drive
","3/31/2024 ‐ 4/1/2024
","6:50 PM ‐ 8:50 AM
","Secured bicycle stolen, loss $250.00
",UCPD Logs
Electric Bicycle,"Price Center
","4/1/2024
","5:46 PM
","Secured electric bicycle stolen, loss $1,500.00
",UCPD Logs
Electric Scooter,"Pines Resturant
","3/8/2024 ‐ 3/9/2024
","11:27 AM
","Secured electric scooter stolen, loss $370.00
",UCPD Logs
Electric Scooter,"RW Academic Building ‐ Copa Vida Café
","2/15/2024
","6:00PM‐8:00PM
","Secured electric scooter stolen, loss $400.00
",UCPD Logs
Electric Scooter,"Pines Restaurant
","3/8/2024 - 3/9/2024
","11:27 AM
","Secured electric scooter stolen, loss $370.00
",UCPD Logs
Electric Scooter,"Center Hall
","3/13/2024
","9:05 PM ‐ 9:50 PM
","Unsecured electric scooter stolen, loss $400.00
",UCPD Logs
Bicycle,"Center Hall
","2/13/2024 ‐ 2/21/2024
","Unknown
","Secured bicycle stolen, loss $199.00
",UCPD Logs
Electric Scooter,"Galbraith Hall
","2/21/2024
","Unknown
","Bike rack cut and victim's scooter stolen
",UCPD Logs
Electric Scooter,"Biology Building
","2/22/2024
","3:15 PM‐6:20 PM
","Secured electric scooter stolen, loss $900.00
",UCPD Logs
Electric Scooter,"Pacific Hall
","2/22/2024
","4:00 PM‐6:00 PM
","Secured electric scooter stolen, loss $450.00
",UCPD Logs
Bicycle,"Trolley ‐ Central Campus Station
","2/22/2024
","2:40 PM ‐ 7:00 PM
","Secured bicycle stolen, loss $500.00
",UCPD Logs
Electric Scooter,"Wells Fargo Hall
","2/29/2024
","12:20 ‐ 4:40 PM
","Secured electric scooter stolen, loss $500.00
",UCPD Logs
Electric Scooter,"RIMAC - Liontree Arena
","3/18/2024
","2:30 PM - 4:50 PM
","Secured electric scooter stolen, loss $600.00
",UCPD Logs
Bicycle,"Mesa Apartments Central
","3/16/2024
","8:00 AM - 8:15 AM
","Secured bicycle stolen, loss $599.00
",UCPD Logs
Bicycle,"Mesa Apartments Central
","3/16/2024 - 6/17/2024
","6:45 PM - 6:45 PM
","Secured bicycle stolen, loss $200.00
",UCPD Logs
Electric Scooter,"Pines Restaurant
","3/8/2024 ‐ 3/9/2024
","11:27 AM
","Secured electric scooter stolen, loss $370.00
",UCPD Logs
Bicycle,"Israni Biomedical Research Facility
","3/14/2024
","9:00 AM ‐ 5:00 PM
","Secured bicycle stolen, loss $1,000.00
",UCPD Logs
Electric Scooter,"Trolley ‐ Central Campus Station
","2/24/2024
","7:19 PM
","Possible scooter theft in progress
",UCPD Logs
Electric Scooter,"Trolley ‐ Central Campus Station
","2/24/2024
","8:46PM‐8:51PM
","Secured electric scooter stolen, loss $260.00
",UCPD Logs
Electric Scooter,"Rimac
","3/4/2024
","5:00 PM‐8:00 PM
","Secured electric scooter stolen, loss $830.00
",UCPD Logs
Bicycle,"Regents Road
","2/7/2024
","10:00 am‐7:45 pm
","Secured bicycle stolen, loss $300.00
",UCPD Logs
Bicycle,"Viento
","2/11/2024
","5:10 PM
","Secured bicycle stolen, loss $900.00
",UCPD Logs
Bicycle,"Kaleidoscope
","2/11/2024
","11:27 PM
","Secured bicycle stolen, loss $1,035.00
",UCPD Logs
Electric Bicycle,"Ridge Walk Academic Building
","3/12/2024
","4:30 PM - 6:30 PM
","Secured electric bicycle stolen, loss $1,000.00
",UCPD Logs
